txid	height	timestamp	amount_atomic	new_address	new_amount_atomic	new_txid	status
cf15703c50df7194c9abddc6175f2f96dcd40301791e28b2124b41500cca98c0	1770043	1771842578	180000	XEQTBRS3uFaUzqkYM7i7yy1e8CvKCBqDKZk42ePxHRdFCPAdSbgfbsi94N8sSAcHurcqowBEwEivbc3KTBudokK73Pje3GXZmg	18000000000		1
f732b8da73b6ec47e7a1838756deb5adabeee53dc3e608e19280efc9beff56f5	1770053	1771844449	10000	XEQTBRS3uFaUzqkYM7i7yy1e8CvKCBqDKZk42ePxHRdFCPAdSbgfbsi94N8sSAcHurcqowBEwEivbc3KTBudokK73Pje3GXZmg	1000000000		1
3575d71b3f6ae96bae893806cd5abef0cac157ac1e0cc8ee41c8f632a3ecb565	1770062	1771845169	260100	XEQTBRS3uFaUzqkYM7i7yy1e8CvKCBqDKZk42ePxHRdFCPAdSbgfbsi94N8sSAcHurcqowBEwEivbc3KTBudokK73Pje3GXZmg	26010000000		1
5c4d1d0dd56557a3f7e92531035e26adc3dd0dde0f1a93546dc175e47c94cb01	1770102	1771849636	20000	XEQTBRS3uFaUzqkYM7i7yy1e8CvKCBqDKZk42ePxHRdFCPAdSbgfbsi94N8sSAcHurcqowBEwEivbc3KTBudokK73Pje3GXZmg	2000000000		1
a4004aeecec4277b99df7879fcd60165ceb97375e1a6b7c3e9ab48eb9b58977b	1770194	1771861201	20000	XEQTBRS3uFaUzqkYM7i7yy1e8CvKCBqDKZk42ePxHRdFCPAdSbgfbsi94N8sSAcHurcqowBEwEivbc3KTBudokK73Pje3GXZmg	2000000000		1
c816a1d9603988f3dc342f1a6bfc8dc118c7138099961b4b95fc4163cce1e528	1770224	1771864912	15000	XEQTBRS3uFaUzqkYM7i7yy1e8CvKCBqDKZk42ePxHRdFCPAdSbgfbsi94N8sSAcHurcqowBEwEivbc3KTBudokK73Pje3GXZmg	1500000000		1
f93ff8514942e65f902b8da7c7514d0191f517f9a9bcae2952c6a2dc5ed096b6	1770225	1771864980	20000	XEQTBRS3uFaUzqkYM7i7yy1e8CvKCBqDKZk42ePxHRdFCPAdSbgfbsi94N8sSAcHurcqowBEwEivbc3KTBudokK73Pje3GXZmg	2000000000		1
050fd66bd676fe2baf40e0a9ae33255c6234119d71927078d4494cc35912ebf3	1770334	1771878756	17700	XEQTBRS3uFaUzqkYM7i7yy1e8CvKCBqDKZk42ePxHRdFCPAdSbgfbsi94N8sSAcHurcqowBEwEivbc3KTBudokK73Pje3GXZmg	1770000000		1
5d390ff767c3f4c44c0d46f22b9ccc954cde7fd8b8b14785c8861bb92d95c5a9	1770585	1771909490	10000	XEQTBRS3uFaUzqkYM7i7yy1e8CvKCBqDKZk42ePxHRdFCPAdSbgfbsi94N8sSAcHurcqowBEwEivbc3KTBudokK73Pje3GXZmg	1000000000		1
b1128a12288403ebe161bc447f3c769318f481163d2612d36b8e00d60b22f07b	1770993	1771957933	11270	XEQTBRS3uFaUzqkYM7i7yy1e8CvKCBqDKZk42ePxHRdFCPAdSbgfbsi94N8sSAcHurcqowBEwEivbc3KTBudokK73Pje3GXZmg	1127000000		1
